GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
8600000US60601,60601,ZCTA5 60601,8248,568,2709,557,2609,526,5539,640,8.8,3.6,2.3,3.7,2.3,3.8,12.0,5.0,4.4,3.5,0.0,1.0,0.0,1.0,6.5,5.1,4.0,2.1,2.7,4.2,2.8,4.4,4.6,2.8,3.2,2.2,0.9,1.8,0.9,1.8,4.4,3.2,7.7,3.1,5.2,5.1,3.8,4.6,9.0,4.2,12.2,3.8,5.1,5.9,5.0,5.1,15.7,5.2,7.5,3.4,4.1,4.1,4.3,4.2,9.1,4.7,18.6,5.2,33.1,10.9,32.3,10.2,11.5,4.5,18.8,5.0,19.1,9.3,19.9,9.7,18.7,6.0,14.8,5.0,27.6,10.6,28.7,10.8,8.5,4.8,103735,13118,137261,30072,139531,33897,73081,10498,150482,32746,225813,82575,N,N,113640,24479,23.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),20.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.2,(X)
8600000US60602,60602,ZCTA5 60602,607,250,276,197,276,197,331,157,3.5,4.0,0.0,9.5,0.0,9.5,6.3,7.3,0.0,4.4,0.0,9.5,0.0,9.5,0.0,8.0,6.6,10.8,0.0,9.5,0.0,9.5,12.1,18.7,6.3,9.8,0.0,9.5,0.0,9.5,11.5,17.8,0.0,4.4,0.0,9.5,0.0,9.5,0.0,8.0,16.3,21.0,35.9,40.1,35.9,40.1,0.0,8.0,29.5,26.5,1.4,18.4,1.4,18.4,52.9,40.5,15.8,16.8,15.6,28.8,15.6,28.8,16.0,25.3,8.4,12.1,18.5,27.6,18.5,27.6,0.0,8.0,13.7,14.4,28.6,33.7,28.6,33.7,1.2,1.8,85313,29573,-,**,-,**,80896,12551,101869,25394,137925,52974,N,N,71804,21409,16.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),2.4,(X)
8600000US60603,60603,ZCTA5 60603,466,94,160,48,150,48,306,93,19.7,15.9,0.0,15.7,0.0,16.7,30.1,22.0,0.0,5.7,0.0,15.7,0.0,16.7,0.0,8.6,6.4,7.0,3.1,4.7,3.3,4.9,8.2,9.6,1.7,2.0,0.0,15.7,0.0,16.7,2.6,3.1,1.5,1.6,0.0,15.7,0.0,16.7,2.3,2.5,5.2,5.1,3.1,4.6,0.0,16.7,6.2,7.4,6.2,3.9,7.5,8.5,8.0,9.2,5.6,4.7,14.6,6.9,21.9,14.6,23.3,15.7,10.8,6.3,7.3,4.0,5.6,6.2,6.0,6.7,8.2,5.7,37.3,13.1,58.8,18.1,59.3,18.0,26.1,15.3,140500,42142,"250,000+",***,"250,000+",***,-,**,224642,58715,370279,126322,N,N,148492,63114,19.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),12.7,(X)
8600000US60604,60604,ZCTA5 60604,381,97,138,49,109,40,243,89,6.8,7.8,10.9,16.0,0.0,22.1,4.5,7.8,6.3,6.0,0.0,18.0,0.0,22.1,9.9,9.0,1.3,1.9,0.0,18.0,0.0,22.1,2.1,3.0,1.0,1.5,0.0,18.0,0.0,22.1,1.6,2.3,8.1,7.4,2.2,4.0,2.8,5.0,11.5,11.6,10.0,6.5,15.9,12.7,7.3,8.5,6.6,7.6,9.2,9.0,2.9,5.8,3.7,7.4,12.8,14.6,6.6,7.4,2.9,5.2,3.7,6.5,8.6,11.4,22.3,18.4,5.8,6.3,7.3,7.7,31.7,26.3,28.3,13.9,59.4,18.8,75.2,16.4,10.7,11.6,150125,90461,238750,100964,"250,000+",***,110298,86027,208028,67348,340662,103538,N,N,132705,61232,13.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),21.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),8.6,(X)
8600000US60605,60605,ZCTA5 60605,13320,646,5336,582,4468,520,7984,747,8.3,2.5,4.3,3.2,2.7,3.3,10.9,3.7,4.4,2.3,1.0,1.6,0.0,0.6,6.6,3.7,2.5,1.8,0.7,1.0,0.3,0.5,3.7,2.8,5.2,2.1,2.2,2.4,0.0,0.6,7.2,3.0,5.8,2.4,1.8,1.7,1.5,1.5,8.8,3.9,12.6,3.5,5.4,2.8,5.3,3.1,17.5,5.1,11.3,2.3,7.6,3.0,8.1,3.5,13.8,3.6,20.3,4.3,23.2,6.4,23.9,7.1,18.0,5.0,11.4,2.3,19.4,4.9,20.8,5.6,6.0,2.1,18.2,3.4,34.2,7.2,37.4,8.3,7.6,2.9,99725,12461,154867,20597,168412,16588,66606,5145,141228,17287,220897,39801,N,N,87541,9160,21.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.3,(X)
8600000US60606,60606,ZCTA5 60606,1999,215,558,140,456,134,1441,226,6.0,5.3,6.3,8.5,0.0,5.8,5.9,6.6,1.5,1.9,0.0,4.8,0.0,5.8,2.1,2.6,1.7,1.9,0.0,4.8,0.0,5.8,2.3,2.7,1.5,1.7,0.0,4.8,0.0,5.8,2.1,2.3,4.1,3.0,0.0,4.8,0.0,5.8,5.7,4.1,13.6,6.8,10.0,7.9,5.9,6.9,14.9,9.0,9.3,5.6,3.8,5.7,0.0,5.8,11.4,7.6,19.8,7.6,29.9,13.1,36.6,14.5,15.9,8.3,19.0,6.8,19.0,10.3,23.2,12.8,19.0,8.2,23.6,8.4,31.0,13.1,34.2,14.3,20.7,11.2,119973,23237,143750,45934,159500,32376,107621,29882,154213,21420,204131,52795,N,N,134882,27656,14.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),8.3,(X)
8600000US60607,60607,ZCTA5 60607,12465,420,4490,346,3693,332,7975,520,11.6,1.9,5.6,2.6,3.8,2.7,15.0,2.7,3.4,1.5,0.9,0.6,0.9,0.6,4.8,2.4,4.8,1.3,2.9,1.3,0.5,0.5,6.0,1.8,3.5,0.8,2.0,1.3,0.7,0.8,4.4,1.3,5.9,1.4,5.7,2.1,4.0,2.0,6.0,2.2,12.5,2.2,6.9,2.1,7.0,2.5,15.6,3.2,13.1,2.5,8.0,2.8,7.2,3.0,16.2,3.4,16.4,2.0,18.5,3.2,18.2,4.1,15.2,2.9,12.3,2.0,20.2,4.1,23.4,4.8,8.0,2.0,16.4,2.3,29.3,4.3,34.4,4.9,8.8,2.1,86476,7698,149038,12046,163193,8662,72644,6526,118044,8059,165320,10733,N,N,90756,8697,21.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),19.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.2,(X)
8600000US60608,60608,ZCTA5 60608,25372,461,14659,516,8267,454,10713,508,11.8,1.3,7.6,1.5,4.1,1.5,18.3,2.5,6.8,1.1,5.7,1.2,3.0,1.1,8.9,1.9,14.5,1.6,15.1,2.0,10.0,2.2,15.0,2.2,13.9,1.3,16.3,1.9,15.4,2.2,11.5,1.8,14.0,1.4,14.7,1.7,14.1,2.3,13.1,2.1,16.8,1.4,15.7,1.7,19.2,2.2,15.9,2.2,8.8,1.0,9.4,1.4,10.8,1.8,7.6,1.5,8.2,1.0,9.3,1.4,14.0,2.3,6.2,1.3,2.9,0.6,3.3,0.7,4.9,1.2,2.3,0.9,2.3,0.6,3.0,0.8,4.5,1.3,1.2,0.5,37574,2108,39916,2891,53848,3528,31512,2068,53353,1983,57755,2727,71595,3969,45194,2616,35.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.4,(X)
8600000US60609,60609,ZCTA5 60609,19717,401,13269,452,7087,396,6448,434,12.1,1.2,9.4,1.4,3.0,1.1,21.6,2.4,7.9,1.1,6.3,1.3,4.3,1.5,10.8,1.9,18.7,1.7,16.6,1.6,11.6,2.1,23.4,2.9,14.1,1.3,14.3,1.7,13.4,2.2,13.5,2.2,14.8,1.5,15.7,1.8,17.0,2.4,12.0,2.8,14.8,1.2,16.2,1.6,20.8,2.4,10.9,2.1,8.0,1.0,9.3,1.3,11.5,1.8,4.9,1.6,6.5,0.8,8.3,1.2,12.3,1.9,1.9,0.8,2.1,0.5,2.8,0.7,4.3,1.2,0.4,0.4,0.9,0.3,1.1,0.4,1.7,0.6,0.6,0.5,32721,1457,37246,1534,50501,2886,22494,1272,46096,1502,51010,1714,63880,2617,33233,3233,31.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.3,(X)
