GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
8600000US60601,60601,ZCTA5 60601,8400,628,6.0,3.1,2.3,1.8,3.7,2.1,3.0,1.7,9.8,4.1,10.8,3.7,9.5,3.5,19.4,4.5,17.7,6.0,17.7,4.7,110215,14736,156723,26229,21.5,(X),(X),(X),(X),(X)
8600000US60602,60602,ZCTA5 60602,596,219,3.0,4.2,0.0,4.5,6.4,10.5,0.0,4.5,0.0,4.5,22.0,26.4,16.4,18.5,19.5,15.4,3.0,6.9,29.7,23.0,115774,67774,172492,102857,35.7,(X),(X),(X),(X),(X)
8600000US60603,60603,ZCTA5 60603,563,112,17.9,14.5,0.0,4.8,8.2,5.9,4.1,3.9,0.9,1.3,5.5,3.7,7.6,6.7,11.5,6.5,8.2,4.5,36.1,8.7,140114,38968,221184,55284,21.1,(X),(X),(X),(X),(X)
8600000US60604,60604,ZCTA5 60604,400,97,10.5,9.3,3.0,3.1,0.0,6.6,1.3,1.8,7.0,6.8,9.5,6.2,13.3,9.3,8.0,8.1,21.5,19.7,26.0,12.9,114565,80307,214724,64624,13.5,(X),(X),(X),(X),(X)
8600000US60605,60605,ZCTA5 60605,13239,686,7.4,2.0,3.4,1.8,2.7,1.9,4.3,1.6,3.9,2.5,12.0,3.2,12.1,3.1,21.0,3.5,12.2,2.7,21.0,3.6,107811,9928,157763,22562,21.7,(X),(X),(X),(X),(X)
8600000US60606,60606,ZCTA5 60606,1979,275,3.5,3.4,1.7,1.9,1.9,2.2,1.6,1.9,2.8,2.5,9.7,6.5,10.6,5.9,20.8,7.6,15.7,5.6,31.8,9.1,139179,31629,197695,44199,14.0,(X),(X),(X),(X),(X)
8600000US60607,60607,ZCTA5 60607,12663,416,11.9,2.3,3.3,1.4,4.3,1.3,3.8,1.1,4.3,1.1,12.3,2.2,13.0,2.6,16.8,2.2,13.4,1.6,16.9,2.2,92240,5571,120419,6271,22.9,(X),(X),(X),(X),(X)
8600000US60608,60608,ZCTA5 60608,25372,425,11.0,1.4,5.7,1.0,13.5,1.5,13.7,1.4,13.3,1.3,17.7,1.4,8.7,1.1,10.4,1.2,3.0,0.7,3.0,0.5,41226,1645,57770,1961,37.6,(X),(X),(X),(X),(X)
8600000US60609,60609,ZCTA5 60609,19960,390,11.8,1.4,7.7,0.9,18.7,1.5,12.9,1.4,16.1,1.5,14.6,1.6,8.0,1.2,6.9,0.9,2.3,0.5,1.1,0.3,33959,1816,47139,1589,32.0,(X),(X),(X),(X),(X)
8600000US60610,60610,ZCTA5 60610,23301,609,9.4,1.6,3.2,1.0,6.0,1.4,5.1,1.8,7.4,1.3,13.5,2.0,13.4,2.0,16.4,1.8,8.9,1.4,16.6,1.9,81576,3858,132877,7885,24.5,(X),(X),(X),(X),(X)
8600000US60611,60611,ZCTA5 60611,20487,619,7.4,1.4,3.0,0.8,3.9,1.1,4.0,1.1,6.8,1.4,15.0,2.5,11.1,1.8,14.5,2.5,11.7,2.2,22.6,2.0,96040,8678,159285,10547,23.9,(X),(X),(X),(X),(X)
8600000US60612,60612,ZCTA5 60612,13200,283,19.4,2.0,8.7,1.3,11.7,1.6,7.5,1.2,9.6,1.3,15.1,1.5,10.1,1.5,10.2,1.6,3.9,0.9,3.9,0.9,38756,3355,60654,3437,43.3,(X),(X),(X),(X),(X)
