GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US60601,60601,ZCTA5 60601,11905,1151,8394,898,964,555,54,85,2220,613,0,17,101,123,172,143,53,88,119,111
8600000US60602,60602,ZCTA5 60602,1294,513,1096,532,30,39,1,3,144,102,0,11,0,11,23,26,0,11,23,26
8600000US60603,60603,ZCTA5 60603,1076,246,690,151,18,20,0,11,321,184,0,11,0,11,47,60,0,11,47,60
8600000US60604,60604,ZCTA5 60604,545,118,380,102,12,17,0,11,147,100,0,11,0,11,6,8,0,11,6,8
8600000US60605,60605,ZCTA5 60605,27238,1601,16213,1244,5257,1118,36,41,4286,863,12,23,386,207,1048,331,234,215,814,256
8600000US60606,60606,ZCTA5 60606,3098,409,2372,368,74,97,0,11,618,245,0,11,17,27,17,27,0,11,17,27
8600000US60607,60607,ZCTA5 60607,27557,1068,16625,923,3943,527,16,23,5527,632,21,25,419,170,1006,322,134,83,872,301
8600000US60608,60608,ZCTA5 60608,79607,2304,37447,1942,13080,810,579,236,7734,690,0,26,19124,1624,1643,366,560,173,1083,343
8600000US60609,60609,ZCTA5 60609,62010,2029,29964,1519,15310,921,536,266,3347,449,10,17,11590,1222,1253,294,509,198,744,234
8600000US60610,60610,ZCTA5 60610,39598,1369,29181,1411,6277,812,189,162,2615,583,0,23,640,229,696,326,46,33,650,326
8600000US60611,60611,ZCTA5 60611,31165,1303,23388,1098,1270,429,73,95,5415,939,0,23,401,255,618,271,29,34,589,269
8600000US60612,60612,ZCTA5 60612,36531,1092,9228,538,23361,951,58,65,1435,251,61,95,1818,475,570,134,141,85,429,106
8600000US60613,60613,ZCTA5 60613,49389,1386,41308,1384,3056,615,142,85,2667,450,0,23,610,249,1606,416,126,79,1480,423
8600000US60614,60614,ZCTA5 60614,69423,1853,59788,1840,3086,416,42,38,4005,525,21,22,569,188,1912,348,124,65,1788,356
8600000US60615,60615,ZCTA5 60615,41210,1267,11259,624,24068,1081,148,143,3331,506,0,23,1092,320,1312,288,208,140,1104,245
8600000US60616,60616,ZCTA5 60616,52214,2012,14150,1033,13125,1007,89,65,21350,1365,47,78,1962,525,1491,508,222,147,1269,485
8600000US60617,60617,ZCTA5 60617,82213,2243,29797,1568,46173,1996,191,104,146,125,6,11,4563,809,1337,398,631,258,706,326
8600000US60618,60618,ZCTA5 60618,97324,2437,78374,2313,2169,416,342,278,5402,603,55,51,7880,1249,3102,510,481,217,2621,500
8600000US60619,60619,ZCTA5 60619,63411,2074,763,194,61455,2071,11,17,203,139,20,29,221,91,738,238,203,156,535,191
8600000US60620,60620,ZCTA5 60620,69909,1623,1094,288,67353,1732,409,240,159,93,27,32,115,108,752,269,171,164,581,205
8600000US60621,60621,ZCTA5 60621,31881,1433,479,177,30355,1342,89,80,84,82,11,18,494,302,369,184,39,42,330,163
8600000US60622,60622,ZCTA5 60622,55516,1451,41522,1407,4621,818,226,167,2230,365,0,26,4897,1008,2020,436,585,286,1435,350
8600000US60623,60623,ZCTA5 60623,88635,2463,41510,1804,28593,1544,268,154,178,101,0,26,17247,1643,839,282,360,144,479,244
8600000US60624,60624,ZCTA5 60624,38140,1546,1038,263,36007,1505,41,32,72,67,0,23,780,436,202,106,41,48,161,94
8600000US60625,60625,ZCTA5 60625,78731,2308,50463,2435,3324,677,145,96,10669,1101,52,75,11157,1368,2921,586,693,262,2228,501
8600000US60626,60626,ZCTA5 60626,49118,1729,29591,1597,11343,1041,126,137,3672,974,0,23,2411,579,1975,468,275,121,1700,458
8600000US60628,60628,ZCTA5 60628,67914,2380,2724,555,63916,2258,35,30,210,106,0,26,573,181,456,163,73,57,383,142
